nic,name,age,gender,job,address,phone,email,password,datejoined,salary
200019201672,Rithu Balasooriya,33,Female,Chef/Cook,23 Gangaramaya,0783450983,Rithu@Gmail.com,-,2025-05-02,65000
200129301829,Rajesh Rahul,43,Male,Waiter/Waitress,54 Kilinochchi,0781028392,Raju@Gmail.com,-,2025-05-02,45000
200200000000,Ashfaq Rifath,25,Male,Receptionist,34 Dehiwala,0781028303,Rifa@Gmail.com,123456,2025-05-01,60000
200229004669,modiwixrezrcre,12,Male,Admin,mxidmoizmpoeimrzc,0741040292,ashfaaq.rifath2@gmail.com,123456,2025-05-08,200000
200229005467,xfefr,23,Male,Waiter/Waitress,ferxrvrvtrcvy,0741040292,ashfaaq@gmail.com,-,2025-05-08,45000
200320192093,Tharidu Mahabage,22,Male,Waiter/Waitress,43 Panadura,0719202830,Tharidu@Gmail.com,-,2025-05-01,45000
200400800675,Kaveesha Dilanjan,21,Male,Admin,59/3 Moratuwa,0719322884,Kdilanjan@Gmail.com,123456,2025-05-01,200000
200510293012,Oveen Bandara,21,Male,Waiter/Waitress,34 Linton state,0781209223,Oveen@Gmail.com,-,2025-05-02,45000
200610298351,Dinusha Dewinda,21,Male,Maintenance Worker,54 Sranankara,0761092016,Dewinda@Gmail.com,-,2025-05-02,55000
200610920196,Nethul Nimsara,23,Male,Waiter/Waitress,23 Gamunu Sreet,0781092345,Nethul@Gmail.com,-,2025-05-02,45000
751029402V,Kasuni Kalhari,65,Female,Cleaning Staff,54 Lunawa,0781029301,kasu@Gmail.com,-,2025-05-04,40000
752901927V,Gunapara Fernando,66,Female,Maintenance Worker,34 Kalutara,0781092639,Gune@Gmail.com,-,2025-05-02,55000
760293871V,Kingsley Peiris,65,Female,Security Officer,65 Moratuwa,0781029384,CP@Gmail.com,-,2025-05-01,50000
